Date,Actual,Forecast
4940,2100.0,2020.7552046497153
4941,1188.0,1927.8795104861058
4942,4500.0,1945.6181308826535
4943,6000.0,1913.4495466808903
4944,540.0,1984.411242738582
4945,1800.0,1966.3547121292982
4946,540.0,1964.117206850592
4947,1400.0,1966.0481101624132
4948,5000.0,1964.3507518918143
4949,4500.0,1966.8522952852068
4950,810.0,1966.3184903236972
4951,200.0,1966.2662255915807
4952,800.0,1966.3877939552747
4953,1080.0,1966.3148573036356
4954,918.0,1966.4055918592185
4955,400.0,1966.3917831952847
4956,850.0,1966.3909265628074
4957,324.0,1966.3975200304421
4958,432.0,1966.3948050018987
4959,864.0,1966.3982258235028
4960,1000.0,1966.3980014115407
4961,810.0,1966.398028765531
4962,972.0,1966.3983674518586
4963,5400.0,1966.3982834936828
4964,540.0,1966.3984195887392
4965,200.0,1966.398426047183
4966,600.0,1966.3984310513913
4967,108.0,1966.3984482401333
4968,600.0,1966.3984466501981
4969,540.0,1966.3984524622956
4970,1600.0,1966.3984535014192
4971,3780.0,1966.3984539629132
4972,500.0,1966.3984548458548
4973,540.0,1966.3984548944686
4974,1620.0,1966.398455164193
4975,1080.0,1966.3984552477189
4976,378.0,1966.3984552834165
4977,6000.0,1966.3984553299645
4978,86.4,1966.3984553387606
4979,250.0,1966.3984553523683
4980,540.0,1966.3984553580724
4981,1800.0,1966.3984553606124
4982,810.0,1966.398455363146
4983,2160.0,1966.398455363912
4984,864.0,1966.3984553646492
4985,2000.0,1966.398455365015
4986,2160.0,1966.3984553651871
4987,1100.0,1966.3984553653295
4988,1080.0,1966.3984553653852
4989,2100.0,1966.3984553654273
4990,5500.0,1966.39845536545
4991,5500.0,1966.3984553654614
4992,50.0,1966.3984553654695
4993,550.0,1966.3984553654732
4994,650.0,1966.3984553654757
4995,750.0,1966.398455365477
4996,750.0,1966.3984553654777
4997,3200.0,1966.3984553654782
4998,2500.0,1966.3984553654784
4999,1080.0,1966.3984553654786
5000,1296.0,1966.3984553654786
5001,2700.0,1966.3984553654786
5002,1296.0,1966.3984553654786
5003,3000.0,1966.3984553654786
5004,2500.0,1966.3984553654786
5005,3000.0,1966.3984553654786
5006,50.0,1966.3984553654786
5007,750.0,1966.3984553654786
5008,8640.0,1966.3984553654786
5009,8640.0,1966.3984553654786
5010,3024.0,1966.3984553654786
5011,4600.0,1966.3984553654786
5012,2700.0,1966.3984553654786
5013,2700.0,1966.3984553654786
5014,2700.0,1966.3984553654786
5015,2700.0,1966.3984553654786
5016,1296.0,1966.3984553654786
5017,2700.0,1966.3984553654786
5018,2700.0,1966.3984553654786
5019,2700.0,1966.3984553654786
5020,2700.0,1966.3984553654786
5021,2700.0,1966.3984553654786
5022,1296.0,1966.3984553654786
5023,2700.0,1966.3984553654786
5024,2700.0,1966.3984553654786
5025,2700.0,1966.3984553654786
5026,2700.0,1966.3984553654786
5027,1188.0,1966.3984553654786
5028,3500.0,1966.3984553654786
5029,3348.0,1966.3984553654786
5030,2500.0,1966.3984553654786
5031,2500.0,1966.3984553654786
5032,2500.0,1966.3984553654786
5033,2000.0,1966.3984553654786
5034,2200.0,1966.3984553654786
